ProductID	Name	Description	Barcode	OrderCode	Brand	Size	Qty	MeasuredQty	Value	Discount	ValueIncVAT	ValueExcVAT	TotCost	Margin	MarginPerc
-39108	misc beets							2		1.5	0	1.5	1.5	0	1.5	1
-39108	misc berrie							1		2.5	0	2.5	2.5	0	2.5	1
-39108	misc berries							64		154.8	0	154.8	154.8	0	154.8	1
-39108	misc berris							1		1.8	0	1.8	1.8	0	1.8	1
-39108	misc berry							19		49.1	0	49.1	49.1	0	49.1	1
-39108	misc blackberry							1		1.5	0	1.5	1.5	0	1.5	1
-39108	misc blackcurrant							1		1.5	0	1.5	1.5	0	1.5	1
-39108	misc blood oranges							1		17	0	17	17	0	17	1
-39108	misc blueberry							3		1.9	0	1.9	1.9	0	1.9	1
-39108	misc box aubergine							4		46	0	46	46	0	46	1
-39108	misc box baby potatoes							1		13	0	13	13	0	13	1
-39108	misc box banana							1		19	0	19	19	0	19	1
-39108	misc box braeburn							1		22	2.201	19.799	19.799	0	19.8	1
-39108	misc box carrots							2		18.5	0	18.5	18.5	0	18.5	1
-39108	misc box cookers							1		24	0	24	24	0	24	1
-39108	misc box cooking apples							1		24	0	24	24	0	24	1
-39108	misc box courgettes							2		19	0	19	19	0	19	1
-39108	misc box cours							1		11	0	11	11	0	11	1
-39108	misc box cucumbers							1		9.5	0	9.5	9.5	0	9.5	1
-39108	misc box cues							3		25.4	0	25.4	25.4	0	25.4	1
-39108	misc box gala							1		22	0	22	22	0	22	1
-39108	misc box grapefruit							1		24	0	24	24	0	24	1
-39108	misc box lychees							1		15	0	15	15	0	15	1
-39108	misc box mushrooms							1		7.7	0	7.7	7.7	0	7.7	1
-39108	misc box oranges							2		7	0	7	7	0	7	1
-39108	misc box peppers							1		4.5	0	4.5	4.5	0	4.5	1
-39108	misc box plums							1		16	0	16	16	0	16	1
-39108	misc box pommes							1		13	0	13	13	0	13	1
-39108	misc box tangerines							1		20	0	20	20	0	20	1
-39108	misc box tomatoes							1		9	0	9	9	0	9	1
-39108	misc box watermelon							1		18	0	18	18	0	18	1
-39108	misc boxeggs							1		74	0	74	74	0	74	1
-39108	misc braeburn box							1		22	2.1996	19.8004	19.8004	0	19.8	1
-39108	misc butternut							4		30.5	0	30.5	30.5	0	30.5	1
